fid,Road Code,Name,Length,UID,x,y,Block,Population serve by New Alignment .,Total cost,Ranking,Absolute ranking,Name & Population served by Habitation in villages.,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",If YES then consider in PH1/PH2 of ITNDP(road no):,Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length (KM) of New Roads Construction Proposed.,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate.,Length portion (KM).,Width of road length(metre) proposed.,field_16,"Split length(KM) category if passing through both PMGSY, MDR/ODR/RR/Track.",Length of New construction of Bridge/CD/Culvert (Meter).,Type Bridge/CD/Culvert/etc.,Cost for Bridge/CD/Culvert/etc.,If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number,Email:shimborpuwein@gmail.com,Signature
30,SWGH-_ZI_NL11,KG Road to Dengginagiri,0.477004634,169,25.251452,89.215445,Zikzak,174,90,0.517241379,11, Dengginagiri,,PH3,No,"E,BT",PWD,0.5,70,0.5,3,,,15,Slab Culvert,20,,JE,,
4,SWGH-_ZI_NL13,Garobadha Road to Jangnapara,1.004598047,4766,25.251452,89.215445,Betrasing,318,175,0.550314465,12, Jongnopara,No,,Phase 2 Propsed,"E,BT",PWD,1,150,1,3,,,10,Slab Culvert,25,,JE,,
12,SWGH-_ZI_NL17,GD Road to Ulubaripara,1.482373012,5188,25.251452,89.215445,Zikzak,449,276,0.614699332,13,Ulubaripara,Yes MNREGA,,,"E,BT",,1.5,252,1.5,3,,,6,Slab Culvert,24,,,,
16,SWGH-_ZI_NL34,Sokbokgre to Samal Chiring,1.964253429,5598,25.251452,89.215445,Zikzak,380,275,0.723684211,14,,ON Going PMGSY,,,"E,BT",,1.83,275,1.83,3,,,,,,,,,
29,SWGH-_ZI_NL24,KG Road to Aruagre,2.152447918,5750,25.251452,89.215445,Zikzak,501,387,0.77245509,15,Aruagre,Yes MNREGA,,Yes,"WBM, BT",,2.1,351,3.1,3,,,9,Slab Culvert,36,,,,
37,SWGH-_ZI_NL03,8thkm of AP road to Rokolpara,1.372679232,167,25.251452,89.215445,Zikzak,248,245,0.987903226,16,,Yes MNREGA,PH3,No,"E,BT",PWD,1.5,200,1.5,3,,,12,Slab Culvert,45,,JE,,
32,SWGH-_ZI_NL27,Kodaldhowa to Kisanpara,0.600275755,3784,25.251452,89.215445,Zikzak,97,98,1.010309278,17,Kisanpara,Yes MNREGA,,No,"E,BT",,0.6,80,0.6,3,,,4.5,Slab Culvert,18,,JE,,
34,SWGH-_ZI_NL06,MM Road to Bolonggiri-A,1.200391639,618,25.251452,89.215445,Zikzak,162,180,1.111111111,18,Bolonggiri-A,Yes MNREGA,,Yes,"E,BT",,1.2,150,1.2,3,,,5,Slab Culvert,30,,JE,,
28,SWGH-_ZI_NL08-A,Kentrikona to Melapara,1.000129059,3102,25.251452,89.215445,Zikzak,100,120,1.2,19,Melapara,"Yes,C&RD",,No,"WBM,BT",PWD,1,120,1,3,,,4.5,Slab Culvert,0,,JE,,
17,SWGH-_ZI_NL01,Ab Road to Jonjonagre,1.000498138,2339,25.251452,89.215445,Zikzak,201,245,1.218905473,20,Jongowagrm,,New Proposed,PH3,"E,BT",PWD,1,200,1,3,,,15,Slab Culvert,45,,JE,,
33,SWGH-_ZI_NL42,MM Road to Boldamgiri Songitcham,1.064875382,5048,25.251452,89.215445,Zikzak,186,230,1.23655914,21,Boldamgiri S/cham,,,,"E,BT",,1,200,1,3,,,7.5,Slab Culvert,30,,,,
41,SWGH-_ZI_NL_38,7th km if AP road to Rongchungiri,1.452136915,5203,25.251452,89.215445,Zikzak,232,292,1.25862069,22,Rongchungiri ,,ph2,,"E,BT",,1.5,250,1.5,3,,,10.5,Slab Culvert,42,,,,
10,SWGH-_ZI_NL12,Kalaicharpara to Kuligiri,1.360777736,2223,25.251452,89.215445,Zikzak,205,280,1.365853659,23,Kuligiri,,,Yes,"WBM,BT",,1.4,250,1.4,3,,,7.5,Slab Culvert,30,,,,
21,SWGH-_ZI_NL_37,Rongsepgre Road to Napolpara,1.975142521,5182,25.251452,89.215445,Zikzak,369,584,1.582655827,24,Napolpara,,,yes,"E,BT",,2,500,2,3,,,18,Slab Culvert,84,,,,
1,SWGH-_ZI_NL_40,Garobadha Dalu Road to Malmua,1.583406253,5164,25.251452,89.215445,Zikzak,172,298,1.73255814,25,Malmua,,,yes,"E,BT",,1.6,250,1.6,3,,,12,Slab Culvert,48,,,,
31,SWGH-_ZI_NL31-A,Koch Basti to Dathbanga(Garo),1.836814282,6269,25.251452,89.215445,Zikzak,196,342,1.744897959,26,,Yes MNREGA,,No,"E,BT",,1.8,306,1.8,3,,,9,Slab Culvert,36,,,,
14,SWGH-_ZI_NL15,Upper Hulukona to Dangga Natong,1.801092572,661,25.251452,89.215445,Zikzak,127,270,2.125984252,27,,,,,,,1.8,270,1.8,3,2.125984252,2.125984252,,,,,,,
20,SWGH-_ZI_NL30,Simlakona to Garagre,4.728511276,373,25.251452,89.215445,Zikzak,325,710,2.184615385,28,Garagre,Yes MNREGA,,Yes,"E,BT",,4.7,658,4.7,3,,,35,Slab Culvert,52,,JE,,
36,SWGH-_ZI_NL36,Silbaripara to Banangpara,1.000403082,5032,25.251452,89.215445,Zikzak,104,230,2.211538462,29,Banangpara,,,yes,"E,BT",,1,200,1,3,,,7.5,Slab Culvert,30,,,,
22,SWGH-_ZI_NL07,AB road to Sathihari,1.026219289,603,25.251452,89.215445,Zikzak,248,550,2.217741935,30,Satihari,Yes PWD,New Proposed,No,"E,BT",,1.055,350,1.055,3.75,,,16,Box cell +HPC Slab Culvert,200,,JE,,
19,SWGH-_ZI_NL29,Rakaldubi to Paglapara,1.999714165,1358,25.251452,89.215445,Zikzak,497,1145,2.303822938,31,Paglapara,,,Yes,"E,BT",PWD,2,700,2,3,,,55,LSB+Slab Culvert,445,,,,
3,SWGH-_ZI_NL10,Gd Road to Matrongkolgiri,1.500395689,187,25.251452,89.215445,Zikzak,319,780,2.445141066,32,Matrongkolgiri,,PH3,No,"E,BT",,1.5,460,1.5,3,,,34,LSB+Slab Culvert,320,,JE,,
15,SWGH-_ZI_NL_39,Ampati Melim Road to Menggongpara,1.012904968,5173,25.251452,89.215445,Zikzak,405,995,2.456790123,33,Menggongpara,,,yes,"E,BT",,1,600,1,3,,,52.5,Slab Culvert,395,,,,
27,SWGH-_ZI_NL28,Kawahagra to Gongrapara,1.967701338,3790,25.251452,89.215445,Zikzak,125,320,2.56,34,Gongrapara,,,Yes,"E,BT",,2,290,2,3,,,7.5,Slab Culvert,30,,JE,,
2,SWGH-_ZI_NL31,GD Road to Salampara,1.500244629,1070,25.251452,89.215445,Zikzak,108,293,2.712962963,35,Salampara,,,Yes,"E,BT",,4.1,245,1.5,3,,,8,Slab Culvert,48,,,,
23,SWGH-_ZI_NL12-A,Garagre road to Boldorenggre,0.500429639,5049,25.251452,89.215445,Zikzak,44,135,3.068181818,36,Boldorenggre,,,,"E,BT",,0.5,100,0.5,3,,,8,Slab Culvert,35,,,,
8,SWGH-_ZI_NL39-A,Bhoirakupi to Rongkaigiri,4.099567815,558,25.251452,89.215445,Zikzak,290,970,3.344827586,37,Rongkaigiri,Yes MNREGA,PH2,,"E,BT",,4.1,615,4.1,3,,,55,BC+Slab Culvert,355,,JE,,
39,SWGH-_ZI_NL32,Kalaipara to Chibonggre,3.300338568,782,25.251452,89.215445,Zikzak,122,531,4.352459016,38,Chibonggre,Yes MNREGA,,Yes,"E,BT",,3.3,495,3.3,3,,,12,Slab Culvert,36,,,,
11,SWGH-_ZI_NL35,Hulukona to Debajani,7.349919729,3105,25.251452,89.215445,Zikzak,207,1095,5.289855072,39,,,,,"E,BT",,7.3,1095,7.3,3,5.289855072,5.289855072,,,,,,,
18,SWGH-_ZI_NL26,Sanjangpara to Rongsepgre,7.089773507,3174,25.251452,89.215445,Zikzak,221,1380,6.244343891,40,,,,No,"E,BT",,7.5,1290,7.5,3,,,24,Slab Culvert,90,,JE,,
7,SWGH-_ZI_NL04,GD Road to Bonbhanga,1.499636894,2216,25.251452,89.215445,Zikzak,223,2904,13.02242152,41,Bonbhanga, MNREGA,No,No,"E,BT",,1.5,2352,1.5,3,,,25,Slab Culvert,552,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66.85935991,,,,,,17248.8,,,,,,,,,,13998.8,,,,,,,3250,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total No of Road,,41,,,,Financing plan of roads in Zikzak Phase 3,,,,,,,,,,,,,,,,,,
,,,,Total Length of New Construction(km),,,,66.85935991,,,,,Year,,RoadCode,RoadName,,,,,km to be done,Amount required,Budget,,,,,,,
,,,,Total Cost of Bridge and Culvert,,,,3250,,,,,2024,,SWGH-_ZI_NL20-A,Gokrakandi to Barmanpara,,,,,,12.8,823.8,,,,,,,
,,,,Total Cost of Road,,,,13998.8,,,,,,,SWGH-_ZI_NL21,ST Road to Bosyaraypara,,,,,,62,,,,,,,,
,,,,Total Cost for Zikzak (lakh),,,,17248.8,,,,,,,SWGH-_ZI_NL20,Mondolpara to Julapara,,,,,,62,,,,,,,,
,,,,Yearly budget (20 years),,,,862.44,,,,,,,SWGH-_ZI_NL14,ST Road to Patelipara,,,,,,73,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL23,TB Road to Dolipara,,,,,,35,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL08,GD Road to Aragittim,,,,,,96,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL19,AB Road to Kuligaon,,,,,,103,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL16,Katabaripara to Kalaigaon Bilpara,,,,,,114,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL02,Kambakpara Road to Kambakpara Ameshgittim,,,,,,98,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL18,GD Road to Jengrimpara,,,,,,168,,,,,,,,
,,,,,,,,,,,,,2025,,SWGH-_ZI_NL11,KG Road to Dengginagiri,,,,,,90,816,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL13,Garobadha Road to Jangnapara,,,,,,175,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL17,GD Road to Ulubaripara,,,,,,276,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL34,Sokbokgre to Samal Chiring,,,,,,275,,,,,,,,
,,,,,,,,,,,,,2026,,SWGH-_ZI_NL24,KG Road to Aruagre,,,,,,387,910,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL03,8thkm of AP road to Rokolpara,,,,,,245,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL27,Kodaldhowa to Kisanpara,,,,,,98,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL06,MM Road to Bolonggiri-A,,,,,,180,,,,,,,,
,,,,,,,,,,,,,2027,,SWGH-_ZI_NL08-A,Kentrikona to Melapara,,,,,,120,887,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL01,Ab Road to Jonjonagre,,,,,,245,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL42,MM Road to Boldamgiri Songitcham,,,,,,230,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL_38,7th km if AP road to Rongchungiri,,,,,,292,,,,,,,,
,,,,,,,,,,,,,2028,,SWGH-_ZI_NL12,Kalaicharpara to Kuligiri,,,,,,280,864,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL_37,Rongsepgre Road to Napolpara,,,,,,584,,,,,,,,
,,,,,,,,,,,,,2029,,SWGH-_ZI_NL_40,Garobadha Dalu Road to Malmua,,,,,,298,910,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL31-A,Koch Basti to Dathbanga(Garo),,,,,,342,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL15,Upper Hulukona to Dangga Natong,,,,,,270,,,,,,,,
,,,,,,,,,,,,,2030,,SWGH-_ZI_NL30,Simlakona to Garagre,,,,,,710,710,,,,,,,
,,,,,,,,,,,,,2031,,SWGH-_ZI_NL36,Silbaripara to Banangpara,,,,,,230,780,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL07,AB road to Sathihari,,,,,,550,,,,,,,,
,,,,,,,,,,,,,2032,,SWGH-_ZI_NL29,Rakaldubi to Paglapara (0-1.4km),,,,,1.4,810,810,,,,,,,
,,,,,,,,,,,,,2033,,SWGH-_ZI_NL29,Rakaldubi to Paglapara (1.4-2km),,,,,0.6,335,810,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL10,Gd Road to Matrongkolgiri (0-0.9km),,,,,0.9,475,,,,,,,,
,,,,,,,,,,,,,2034,,SWGH-_ZI_NL10,Gd Road to Matrongkolgiri (0.9-1.5km),,,,,0.6,305,860,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL_39,Ampati Melim Road to Menggongpara (0-0.55km),,,,,0.55,555,,,,,,,,
,,,,,,,,,,,,,2035,,SWGH-_ZI_NL_39,Ampati Melim Road to Menggongpara (0.55-1km),,,,,0.45,440,860,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL28,Kawahagra to Gongrapara,,,,,,320,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL31,GD Road to Salampara (0-0.5km),,,,,0.5,100,,,,,,,,
,,,,,,,,,,,,,2036,,SWGH-_ZI_NL31,GD Road to Salampara (0.5-1.5km),,,,,1,193,859,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL12-A,Garagre road to Boldorenggre,,,,,,135,,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL32,Kalaipara to Chibonggre,,,,,,531,,,,,,,,
,,,,,,,,,,,,,2037,,SWGH-_ZI_NL39-A,Bhoirakupi to Rongkaigiri (0-3.68km),,,,,3.68,870,870,,,,,,,
,,,,,,,,,,,,,2038,,SWGH-_ZI_NL39-A,Bhoirakupi to Rongkaigiri (03.68-4.1km),,,,,0.42,100,875,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL35,Hulukona to Debajani (0-5.2km),,,,,5.2,775,,,,,,,,
,,,,,,,,,,,,,2039,,SWGH-_ZI_NL35,Hulukona to Debajani (5.2-7.35km),,,,,2.15,320,875,,,,,,,
,,,,,,,,,,,,,,,SWGH-_ZI_NL26,Sanjangpara to Rongsepgre (0-2.85km),,,,,2.85,555,,,,,,,,
,,,,,,,,,,,,,2040,,SWGH-_ZI_NL26,Sanjangpara to Rongsepgre (2.85-7.1km),,,,,4.25,825,825,,,,,,,
,,,,,,,,,,,,,2041,,SWGH-_ZI_NL04,GD Road to Bonbhanga (0-0.375km),,,,,0.375,726,726,,,,,,,
,,,,,,,,,,,,,2042,,SWGH-_ZI_NL04,GD Road to Bonbhanga (0.375-0.75km),,,,,0.375,726,726,,,,,,,
,,,,,,,,,,,,,2043,,SWGH-_ZI_NL04,GD Road to Bonbhanga (0.75-1.125km),,,,,0.375,726,726,,,,,,,
,,,,,,,,,,,,,2044,,SWGH-_ZI_NL04,GD Road to Bonbhanga (1.125-1.5km),,,,,0.375,726,726,,,,,,,
