fid,Length,RoadCode,Un ID,y,x,Habitation,Block,Population serve by New Alignment .,Total Cost (exact),Total cost,Ranking,,"If change in habitations in village provide GPS coordinates  (X,Y).",Name & Population served by Habitation in villages.,field_9,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",If YES then consider in PH1/PH2 of ITNDP(road no):,Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),Name of road Proposed from--------------to---------------,,Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length (KM) of New Roads Construction Proposed.,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate. (175.25/km), b,Original length without approx,Width of road length(metre) proposed.,field_20,"Split length(KM) category if passing through both PMGSY, MDR/ODR/RR/Track.",Requirement of Hairpen Bend   ----  Yes/No.,Length of New construction of Bridge/CD/Culvert (eter).,Type Bridge/CD/Culvert/etc.,Cost for Bridge/CD/Culvert/etc.,Culvert cost,New culvert cost,Bridge cost,New cost for Bridge/culvert,Road Leading to number of Points as follows:,"a) Agriculture areas     eg- 5,10.","b) Economic potential areas     eg- 5,10","c) Industrial areas     eg- 1,2",d)EIA required or Ecological Consideration  eg-Yes/No,"e) Tourist Point  e.g. - 5,10",If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number,Difference
,61.04750278,,,,,,,,16262.20978,16263,,,,,,,,,,,,,61.68,10698.57486,61.68,10809.42,,,,,,,5634,4430,4359.634914,1204,5563.634914,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financing plan of roads in Bajengdoba Phase 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Year,,RoadCode,RoadName,,,,,km to be done,Amount required,Budget,Cost per road,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2024,,NG_BJ_NL04,Chiram Christain to Chiram Aga,,,,,1.069262094,264,813,264,0.742626553,,,,,,,,,Total No of Road,,18,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL12,Dalmanggre to Ronggol chiriing (0-2.17km),,,,,2.17,549,,719,1.41886144,,,,,,,Total Length of New Construction(km),,,,61.04750278,,,,,,,,,,,,,,,,,,,,,
,,2025,,NG_BJ_NL12,Dalmanggre to Ronggol chiriing (2.17-2.85km),,,,,0.68,170,883,,,,,,,,,Total Cost of Bridge and Culvert,,,,5563.634914,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL05,Korepara to Chijagamgre,,,,,2.992404444,713,,713,2.921886717,,,,,,,Total Cost of Road,,,,10698.57486,,,,,,,,,,,,,,,,,,,,,
,,2026,,NG_BJ_NL20,Dujong akonggre to Dujong Songgital,,,,,2.907052921,814,814,814,1.608238804,,,,,,,Total Cost for Bajengdoba (lakh),,,,16263,,,,,,,,,,,,,,,,,,,,,
,,2027,,NG_BJ_NL16,NH-51 To Rongsep,,,,,1.554608926,370,813,370,1.638874232,,,,,,,Yearly budget (20 years),,,,813.15,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL13,Bolongpang To Nokwal Ading (0-1.79km),,,,,1.79,443,,546,2.564874121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2028,,NG_BJ_NL13,Bolongpang To Nokwal Ading (1.79-2.21km),,,,,0.42,103,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL02,Rari bajar to kitmadamgre,,,,,2.899493561,759,,759,2.998626444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2029,,NG_BJ_NL18,Jamgonda Nokatgre To jamgonda Chidekgre,,,,,2.273199443,507,813,507,2.629491066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL23,Rabha Sualmari to Matchuki Via Takulbela (0-1.13km),,,,,1.13,306,,953,3.198677664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2030,,NG_BJ_NL23,Rabha Sualmari to Matchuki Via Takulbela (1.13-3.51km),,,,,2.38,647,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL01,Rongbang Ading TO Matcha Melaram (0-0.64km),,,,,0.64,166,,1001,3.524310555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2031,,NG_BJ_NL01,Rongbang Ading TO Matcha Melaram (0.64-3.84km),,,,,3.2,835,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2032,,NG_BJ_NL14,Raksam Gengnang to Rongjaleng Nokat via Rongjaleng,,,,,3.424610119,847,847,847,4.298146457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2033,,NG_BJ_NL06,Kimdegre to Aruak Songgital (0-3.28km),,,,,3.28,813,813,1111,4.981596815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2034,,NG_BJ_NL06,Kimdegre to Aruak Songgital (3.28-4.48km),,,,,1.2,298,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL11,Fakirmara TO Dujong  Akong (0-1.62km),,,,,1.62,515,,1146,5.355228579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2035,,NG_BJ_NL11,Fakirmara TO Dujong  Akong (1.62-3.6km),,,,,1.98,631,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2036,,NG_BJ_NL15,Rari to Warigre,,,,,2.126663816,507,507,507,5.507365807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2037,,NG_BJ_NL21,Gosingbeta Bajar to Dajongpara (0-2.14km),,,,,2.14,625,625,1250,6.279378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2038,,NG_BJ_NL21,Gosingbeta Bajar to Dajongpara (2.14-4.28km),,,,,2.14,625,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2039,,NG_BJ_NL22,Bekbekgre To Jamanggre,,,,,2.622179151,625,625,625,8.220186616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2040,,NG_BJ_NL03,Ane Aga To Chiraragre (0-2.3km),,,,,2.3,813,813,1893,9.805931795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2041,,NG_BJ_NL03,Ane Aga To Chiraragre (2.3-4.6km),,,,,2.3,813,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2042,,NG_BJ_NL03,Ane Aga To Chiraragre (4.6-5.33km),,,,,0.73,267,813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NG_BJ_NL09,Diarak Bajar(Achotchonggre) To Balkol (0-2.22km),,,,,2.22,546,,2238,11.35838489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2043,,NG_BJ_NL09,Diarak Bajar(Achotchonggre) To Balkol (2.22-5.66km),,,,,3.44,846,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2044,,NG_BJ_NL09,Diarak Bajar(Achotchonggre) To Balkol (5.66-9.1km),,,,,3.44,846,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,61.06947448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
