fid,Length,RoadCode,Name of road proposed from,Un ID,Block,Population serve by New Alignment .,Total cost,Ranking,Absolute ranking,x,y,"If change in habitations in village provide GPS coordinates  (X,Y).",Name & Population served by Habitation in villages.,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),Name of road proposed from,Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Difference,Length (KM) of New Roads Construction Proposed.,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate.,New total cost,Rounded,Length portion (KM).,Width of road length(metre) proposed.,Length of New construction of Bridge/CD/Culvert (Meter).,Type Bridge/CD/Culvert/etc.,Cost for Bridge in lakh/CD/Culvert/etc.
,,Yearly budget (20 years),,,,307.45,,,,,,,,SWGH_DA_NL07,Jamanggre Eokuntagre road to Dilnigre,,,,,,173,,,,,,,
,,,,,,,,,,,,2026,,SWGH_DA_NL08,pelga road to Chikimilgre,,,,,,224,355,,,,,,
,,,,,,,,,,,,,,SWGH_DA_NL05,AMPT road to New Upper Damalgre,,,,,,131,,,,,,,
,,,,,,,,,,,,2027,,SWGH_DA_NL04,AMPT road to Bolganggre (0-1.4km),,,,,1.4,304.5,304.5,,,,,,
,,,,,,,,,,,,2028,,SWGH_DA_NL04,AMPT road to Bolganggre (1.4-2.8km),,,,,1.4,304.5,304.5,,,,,,
,,,,,,,,,,,,2029,,SWGH_DA_NL03,GBR road to Misikhona via Dolbari (0-0.77km),,,,,0.77,331,331,,,,,,
,,,,,,,,,,,,2030,,SWGH_DA_NL03,GBR road to Misikhona via Dolbari (0.77-1.3km),,,,,0.53,229,331,,,,,,
,,,,,,,,,,,,,,SWGH_DA_NL17,DMB road to Grangandi via Bolchugre (0-0.54km),,,,,0.54,102,,,,,,,
,,,,,,,,,,,,2031,,SWGH_DA_NL17,DMB road to Grangandi via Bolchugre (0.54-2.31km),,,,,1.77,331,331,,,,,,
,,,,,,,,,,,,2032,,SWGH_DA_NL17,DMB road to Grangandi via Bolchugre (2.31-4.08km),,,,,1.77,331,331,,,,,,
,,,,,,,,,,,,2033,,SWGH_DA_NL17,DMB road to Grangandi via Bolchugre (4.08-5.85km),,,,,1.77,331,331,,,,,,
,,,,,,,,,,,,2034,,SWGH_DA_NL02,G D road to Manggagre Via Talanggre (0-2.15km),,,,,2.15,387,387,,,,,,
,,,,,,,,,,,,2035,,SWGH_DA_NL02,G D road to Manggagre Via Talanggre (2.15-4.3km),,,,,2.15,387,387,,,,,,
,,,,,,,,,,,,2036,,SWGH_DA_NL16,Teporpara to Tiksali (0-1.62km),,,,,1.62,317.5,317.5,,,,,,
,,,,,,,,,,,,2037,,SWGH_DA_NL16,Teporpara to Tiksali (1.62-3.23km),,,,,1.61,317.5,317.5,,,,,,
,,,,,,,,,,,,2038,,SWGH_DA_NL14,Rongbakgre to Molmegre (0-1.34km),,,,,1.34,306.6,306.6,,,,,,
,,,,,,,,,,,,2039,,SWGH_DA_NL14,Rongbakgre to Molmegre (1.34-2.68km),,,,,1.34,306.6,306.6,,,,,,
,,,,,,,,,,,,2040,,SWGH_DA_NL14,Rongbakgre to Molmegre (2.68-4.02km),,,,,1.34,306.6,306.6,,,,,,
,,,,,,,,,,,,2041,,SWGH_DA_NL14,Rongbakgre to Molmegre (4.02-5.36km),,,,,1.34,306.6,306.6,,,,,,
,,,,,,,,,,,,2042,,SWGH_DA_NL14,Rongbakgre to Molmegre (5.36-6.7km),,,,,1.34,306.6,306.6,,,,,,
