fid,UNID,Length,Road Code,Name of road Proposed from,Habbitation:,x,y,Block :,Population serve by New Alignment .,Total cost,Ranking,Absolute ranking,"Whether Road is Sanctioned under any scheme ( Yes/No) eg. MNREGA, PMGSY, PWD, C&RD, BADO, etc.  (?)",Whether road alignment considered in CRRI ITNDP Phase-3 Roads (Yes/No),field_14,Name of road Proposed from,Existing Surface Type E/G/WBM. (?)       Proposed E/G/WBM/BT(Provide KML),Road Agency (PWD/C&RD/Industry/Mining/Agriculture/Tourist/Water/BADA/any other).,Length KM of new Roads construction Proposed,Diffrence,Total Cost  based on cost per km average rate 2024(in Lakhs) Length*Rate.170L/Km,Lengthy portion KM,Width of road length(metre) proposed.,"Split length(KM) category if passing through both PMGSY, MDR/ODR/RR/Track.",Requirement of Hairpen Bend   ----  Yes/No.,Type Bridge/CD/Culvert/etc. SOHP/DOHP @600000/each,Cost for Minor Bridge. @5000000/each,"Cost for LSB Bridge @25,00,000.00/Rm (1 nos LSB)",Total Cost in Lakhs,Road Leading to number of Points as follows:,"a) Agriculture areas     eg- 5,10.","b) Economic potential areas     eg- 5,10","c) Industrial areas     eg- 1,2",d) EIA required or Ecological Consideration  eg-Yes/No,"e) Tourist Point  e.g. - 5,10",field_35,If road not feasible in village then length of proposed ropeway of water transport/ railway etc.,Proposed by  JE/AE/EE/BDO/C&&/BAD/DC/Tourist/Agriculture/Mining /Industry/ Designation with Block /District  with their mobile number,field_38,Email: pwd.baghmaradivision2000@gmail.com,Signature
45,81,1.772016526,SG_CP_NL44,Rotongre to Akosigre,Akoksigre ,90.200545,20.2245,Chokpot,116,643,5.543103448,11,No,Yes,,Rotongre to Akosigre,kutcha,PWD (R),1.75,-0.022016526,297.5,1.75,3.75,,FALSE,8,,0,345.5,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
43,705,1.45519641,SG_CP_NL42,Rongdi Adinggre to Alekapara,Bramagre,90.200545,20.2245,Chokpot,159,1011.2,6.359748428,12,No,Yes,,Rongdi Adinggre to Alekapara,kutcha,PWD (R),1.38,-0.07519641,234.6,1.38,3.75,,FALSE,7,,20,776.6,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
44,172,1.280635385,SG_CP_NL43,Rongpakgre to Anchenggre,Anchenggre,90.200545,20.2245,Chokpot,132,952,7.212121212,13,No,Yes,,Rongpakgre to Anchenggre,kutcha,PWD (R),1.3,0.019364615,221,1.3,3.75,,FALSE,10,0,18,731,,6,5,1,FALSE,7,,,AEE-9862628337   JE-82191410244,,,
9,6076,2.943767336,SG_CP_NL09,Sibbari to Chigitchakgre,Tengki Songmong ,90.200545,20.2245,Chokpot,273,2025.6,7.41978022,14,No,Yes (Phase-3),,Sibbari to Chigitchakgre,E,PWD (R),3.09,0.146232664,525.3,3.09,3.75,,FALSE,25,4,25,1500.3,,7,7,1,FALSE,3,,,AEE-9862628337   JE-7005542526,,,
39,5330,1.862428656,SG_CP_NL38,Rimrang Adinggre to Rongkangittim,Rongkangittim,90.200545,20.2245,Chokpot,88,706,8.022727273,15,No,Yes,,Rimrang Adinggre to Rongkangittim,Kutcha,PWD (R),1.9,0.037571344,323,1.9,3.75,,FALSE,10,,0,383,,5,5,NA,TRUE,No,,,AEE-9862628337   JE-7005890577,,,
50,6697,2.505965261,SG_CP_NL49,Wage Chiringre to Awegre,Wagre Chiringre,90.200545,20.2245,Chokpot,101,928,9.188118812,16,No,Yes,,Wage Chiringre to Awegre,kutcha,PWD (R),2.5,-0.005965261,425,2.5,3.75,,FALSE,13,,0,503,,5,5,,FALSE,2,,,AEE-9862628337   JE-7005890577,,,
49,2266,2.650754387,SG_CP_NL48,Sangknigre to Kalupara,Kalupara,90.200545,20.2245,Chokpot,264,2462,9.325757576,17,No,Yes,,Sangknigre to Kalupara,kutcha,PWD (R),2.6,-0.050754387,442,2.6,3.75,,FALSE,13,,60,2020,,5,5,NA,TRUE,No,,,AEE-9862628337   JE-7005890577,,,
51,5302,1.023417026,SG_CP_NL50,Mon Adanggre to Rongjajonggre,Rongjajonggre,90.200545,20.2245,Chokpot,111,1041,9.378378378,18,No,No,,Mon Adanggre to Rongjajonggre,E,PWD (R),1.1,0.076582974,187,1.1,3.75,,FALSE,7,0,25,854,,7,7,2,FALSE,5,,,AEE-9862628337   JE-7005542526,,,
17,5075,1.549534012,SG_CP_NL16,Dapgre to Satilokgre,Rekonanggre,90.200545,20.2245,Chokpot,65,626,9.630769231,19,No,Yes,,Dapgre to Satilokgre,kutcha,PWD (R),1.7,0.150465988,289,1.7,3.75,,FALSE,8,,,337,,5,5,NA,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
33,4062,2.075323556,SG_CP_NL32,Nanil Songgital to Nanil Songmong,Nanil Songgital ,90.200545,20.2245,Chokpot,93,904,9.720430108,20,No,No,,Nanil Songgital to Nanil Songmong,E,PWD (R),2,-0.075323556,360,2,3.75,,FALSE,14,2,0,544,,8,8,1,FALSE,5,,,AEE-9862628337   JE-7005542526,,,
25,5224,3.767320713,SG_CP_NL24,Jetra to Rongasigre,Rongasigre,90.200545,20.2245,Chokpot,197,2326.2,11.80812183,21,No,Yes,,Jetra to Rongasigre,Track,PWD (R),3.93,0.162679287,668.1,3.93,3.75,15.5 km under PWD,FALSE,15,3,30,1658.1,,7,8,1,FALSE,8,,,AEE-9862628337   JE-82191410244,,,
3,4578,1.816857436,SG_CP_NL03,Bagugre to Dawagre,Norangre,90.200545,20.2245,Chokpot,200,2865,14.325,22,No,Yes,,Bagugre to Dawagre,kutcha,PWD (R),2,0.183142564,340,2,3.75,,FALSE,10,,85,2525,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
1,5380,2.423548355,SG_CP_NL01,Anegre to Bolchimdagre,Rongrak Teksragre,90.200545,20.2245,Chokpot,215,3104,14.4372093,23,No,Yes,,Anegre to Bolchimdagre,,PWD (R),2.3,-0.123548355,391,2.3,3.75,,FALSE,12,,90,2713,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
14,1653,5.21745386,SG_CP_NL13, Bugakolgre to Dura Asimgre,Dura Asimgre,90.200545,20.2245,Chokpot,313,4540,14.50479233,24,No,Yes,, Bugakolgre to Dura Asimgre,kutcha,PWD (R),8.9,3.68254614,1513,8.9,3.75,,FALSE,44,,50,3027,,5,5,,TRUE,No,,,AEE-9862628337   JE-7005890577,,,
30,1865,13.41018629,SG_CP_NL29,Mitap Bodolagre to Rongrikkimgre,Gongganggre,90.200545,20.2245,Chokpot,522,8188,15.68582375,25,No,Yes(Phase-3),,Mitap Bodolagre to Rongrikkimgre,E,PWD (R),13.4,-0.010186294,2412,13.4,3.75,,FALSE,94,6,100,5776,,8,7,1,FALSE,5,,,AEE-9862628337   JE-7005542526,,,
19,1445,3.680921188,SG_CP_NL18,Warima duragre to Dingbinggre,Dingbinggre,90.200545,20.2245,Chokpot,77,1286,16.7012987,26,No,Yes,,Warima duragre to Dingbinggre,kutcha,PWD (R),3.5,-0.180921188,595,3.5,3.75,,FALSE,16,0,0,691,,5,8,1,FALSE,9,,,AEE-9862628337   JE-82191410244,,,
36,4669,11.20688112,SG_CP_NL35,Paromgre to Dabalgre,Paromgre,90.200545,20.2245,Chokpot,423,7612,17.99527187,27,No,No,,Paromgre to Dabalgre,kutcha,PWD (R),11.3,0.093118882,1921,11.3,3.75,,FALSE,45,5,130,5691,,8,9,1,FALSE,10,,,AEE-9862628337   JE-82191410244,,,
18,1772,2.531588704,SG_CP_NL17,Deku Bazar to Nokatgre,Ganggugre,90.200545,20.2245,Chokpot,90,1678.8,18.65333333,28,No,Yes,,Deku Bazar to Nokatgre,,PWD (R),1.82,-0.711588704,309.4,1.82,3.75,,FALSE,10,,40,1369.4,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
38,1040,8.148114811,SG_CP_NL37,Raja Ronggat to Gaturagre,Dendamgre,90.200545,20.2245,Chokpot,163,3060,18.77300613,29,No,Yes,,Raja Ronggat to Gaturagre,kutcha,PWD (R),8,-0.148114811,1360,8,3.75,,FALSE,40,2,0,1700,,7,8,1,FALSE,8,,,AEE-9862628337   JE-82191410244,,,
40,5450,1.048832079,SG_CP_NL39,Rombagre top,Rongtra Bisik,90.200545,20.2245,Chokpot,18,347.22,19.29,30,No,Yes,,Rombagre top,kutcha,PWD (R),0.933,-0.115832079,158.61,0.933,3.75,,FALSE,5,,0,188.61,,5,5,NA,TRUE,No,,,AEE-9862628337   JE-7005890577,,,
48,1329,1.193905646,SG_CP_NL47,Sangknigre to Depotagre,Depotagre,90.200545,20.2245,Chokpot,120,2376,19.8,31,No,Yes,,Sangknigre to Depotagre,kutcha,PWD (R),1,-0.193905646,170,1,3.75,,FALSE,6,,80,2206,,5,5,NA,FALSE,1,,,AEE-9862628337   JE-7005890577,,,
22,1249,7.710798456,SG_CP_NL21,Ganchikalak to Kalbangre,Darengsagre,90.200545,20.2245,Chokpot,146,2924,20.02739726,32,No,Yes,,Ganchikalak to Kalbangre,kutcha,PWD (R),7.6,-0.110798456,1292,7.6,3.75,,FALSE,40,2,,1632,,5,5,,FALSE,,,,AEE-9862628337   JE-7005890577,,,
23,969,6.431226346,SG_CP_NL22,Mitap Bodolagre to Mon Dobakkolgre,Chittimgre,90.200545,20.2245,Chokpot,227,4708,20.74008811,33,No,No,,Mitap Bodolagre to Mon Dobakkolgre,E,PWD (R),6.3,-0.131226346,1134,6.3,3.75,,FALSE,40,4,80,3574,,8,8,1,FALSE,3,,,AEE-9862628337   JE-7005542526,,,
56,5756,5.587790344,SG_CP_NL55,Silkigreto Kharukol via Mindikgre Road,Silki Achakchiringgre,90.200545,20.2245,Chokpot,161,3374.8,20.96149068,34,No,No,,Silkigreto Kharukol via Mindikgre Road,E,PWD (R),5.53,-0.057790344,995.4,5.53,3.75,,FALSE,39,3,40,2379.4,,7,7,2,FALSE,5,,,AEE-9862628337   JE-7005542526,,,
4,368,3.362934986,SG_CP_NL04,Bangguagre to Balsiragre,Balsiragre,90.200545,20.2245,Chokpot,79,2184,27.64556962,35,No,Yes,,Bangguagre to Balsiragre,kutcha,PWD (R),3.2,-0.162934986,544,3.2,3.75,,FALSE,16,,40,1640,,5,5,,FALSE,No,,,AEE-9862628337   JE-7005890577,,,
42,5239,8.28046895,SG_CP_NL41,Rongbilbanggre to Mandang Redinggre,Rongbilbanggre,90.200545,20.2245,Chokpot,148,4348,29.37837838,36,No,Yes (Phase-3),,Rongbilbanggre to Mandang Redinggre,E,PWD (R),8.2,-0.08046895,1476,8.2,3.75,,FALSE,66,5,30,2872,,8,8,1,FALSE,5,,,AEE-9862628337   JE-7005542526,,,
11,2273,1.045308147,SG_CP_NL11,Dajirongbingre to Kama Minchi Chiringre,Kama Minchi Chiringgre,90.200545,20.2245,Chokpot,26,808,31.07692308,37,No,Yes,,Dajirongbingre to Kama Minchi Chiringre,kutcha,PWD (R),1,-0.045308147,170,1,3.75,,FALSE,3,0,18,638,,6,5,1,FALSE,5,,,AEE-9862628337   JE-82191410244,,,
54,5651,3.155975978,SG_CP_NL53, Rene Badimagre to Sembu Rongkeragre,Sembu Jakinggitim,90.200545,20.2245,Chokpot,41,1411.4,34.42439024,38,No,No,, Rene Badimagre to Sembu Rongkeragre,E,PWD (R),3.21,0.054024022,545.7,3.21,3.75,,FALSE,20,4,0,865.7,,8,8,1,FALSE,3,,,AEE-9862628337   JE-7005542526,,,
6,1270,4.422802276,SG_CP_NL06,Bosal Ading to Damet Bugalkolgre, Dasamgre,90.200545,20.2245,Chokpot,46,1592.2,34.61304348,39,No,Yes,,Bosal Ading to Damet Bugalkolgre,Kutcha,PWD (R),4.33,-0.092802276,736.1,4.33,3.75,,FALSE,20,,,856.1,,5,5,1,FALSE,5,,,AEE-9862628337   JE-82191410244,,,
24,2301,5.65299173,SG_CP_NL23,Darenggre to Kantasigre,Kantasigre,90.200545,20.2245,Chokpot,81,2945.2,36.36049383,40,No,Yes,,Darenggre to Kantasigre,kutcha,PWD (R),5.48,-0.17299173,931.6,5.48,3.75,12th km under PWD,FALSE,22,3,32,2013.6,,7,8,1,FALSE,10,,,AEE-9862628337   JE-82191410244,,,
10,2052,3.536598682,SG_CP_NL10,Duragre to Gandinangre,Bikinggre,90.200545,20.2245,Chokpot,31,1262,40.70967742,41,No,Yes,,Duragre to Gandinangre,Kutcha,PWD (R),3.5,-0.036598682,595,3.5,3.75,,FALSE,12,0,0,667,,6,5,1,FALSE,7,,,AEE-9862628337   JE-82191410244,,,
20,2052,3.582622688,SG_CP_NL19,Duragre to Gandinangre,Bikinggre,90.200545,20.2245,Chokpot,31,1262,40.70967742,42,No,Yes,,Duragre to Gandinangre,Kutcha,PWD (R),3.5,-0.082622688,595,3.5,3.75,,FALSE,12,0,0,667,,6,5,1,FALSE,7,,,AEE-9862628337   JE-82191410244,,,
21,1483,10.57421784,SG_CP_NL20,Emandurabanda to Paroimgre,Dobagre,90.200545,20.2245,Chokpot,89,3958,44.47191011,43,No,Yes,,Emandurabanda to Paroimgre,kutcha,PWD (R),10.7,0.125782164,1819,10.7,3.75,,FALSE,45,1,0,2139,,7,8,1,FALSE,10,,,AEE-9862628337   JE-82191410244,,,
12,4078,0.869110203,SG_CP_NL12,Daldogre to Narongkolgre,Narongkolgre,90.200545,20.2245,Chokpot,9,475,52.77777778,44,No,No,,Daldogre to Narongkolgre,E,PWD (R),0.85,-0.019110203,144.5,0.85,3.75,,FALSE,6,3,0,330.5,,7,6,1,FALSE,3,,,AEE-9862628337   JE-7005542526,,,
2,246,8.453247149,SG_CP_NL02,Anegre To Dap Asakgre,Asinangre,90.200545,20.2245,Chokpot,92,5298,57.58695652,45,No,Yes,,Anegre To Dap Asakgre,kutcha,PWD (R),8.5,0.046752851,1445,8.5,3.75,,FALSE,43,3,80,3853,,5,5,NA,TRUE,No,,,AEE-9862628337   JE-7005890577,,,
37,828,10.557763,SG_CP_NL36,Raja Ronggar to Chiringmagre,Chianggalgre,90.200545,20.2245,Chokpot,52,4855,93.36538462,46,No,Yes,,Raja Ronggar to Chiringmagre,Track,PWD (R),10.5,-0.057763004,1785,10.5,3.75,,FALSE,60,8,21,3070,,1,7,,FALSE,8,,,AEE-9862628337   JE-82191410244,,,
7,5413,6.694614165,SG_CP_NL07,Darenggre to Rongru Watregre,Rongru Watregre,90.200545,20.2245,Chokpot,42,4024,95.80952381,47,No,No,,Darenggre to Rongru Watregre,Kutcha,PWD (R),6.56,-0.134614165,1122,6.6,3.75,,FALSE,30,2,60,2902,,8,8,1,FALSE,9,,,AEE-9862628337   JE-82191410244,,,
5,2262,8.874768759,SG_CP_NL05, Bugakolgre to Dura Asimgre,Kalsimpara,90.200545,20.2245,Chokpot,43,4540,105.5813953,48,No,Yes,, Bugakolgre to Dura Asimgre,kutcha,PWD (R),8.9,0.025231241,1513,8.9,3.75,,FALSE,44,,50,3027,,5,5,,TRUE,No,,,AEE-9862628337   JE-7005890577,,,
53,1361,14.76339317,SG_CP_NL52,Wakjapakgre to Daramgre,Debaigre,90.200545,20.2245,Chokpot,46,5966,129.6956522,49,only 4.7km under PMGSY,PH1,,Wakjapakgre to Daramgre,kutcha,PWD (R),14.8,0.036606833,2516,14.8,3.75,4.7km under PMGSY,FALSE,89,8,0,3450,,6,,,,,,,AEE-9862628337   JE-7005890577,,,
16,720,13.52989437,SG_CP_NL15,Dapgre to Ruabanga,Budigre ,90.200545,20.2245,Chokpot,56,9198,164.25,50,only 3km under SPF,PH3,,Dapgre to Ruabanga,kutcha,PWD (R),13.5,-0.029894375,2295,13.5,3.75,3km under SPF,FALSE,68,4,160,6903,,6,5,,,,,,AEE-9862628337   JE-7005890577,,,
27,1275,8.903915416,SG_CP_NL26,Kilbomagre to radigre,Dasol Chigitchakgre,90.200545,20.2245,Chokpot,22,3981,180.9545455,51,No,No,,Kilbomagre to radigre,Kutcha,PWD (R),9.1,0.196084584,1547,9.1,3.75,,FALSE,27,2,25,2434,,8,8,1,FALSE,8,,,AEE-9862628337   JE-82191410244,,,
